# 错误日志 - 2026-05-19 21:15:03
# 格式: 时间,股票代码,错误信息

2026-05-19 21:40:10,未知,获取数据失败 sh.600845: 网络接收错误。
2026-05-19 21:40:17,未知,获取数据失败 sh.603298: 网络接收错误。
2026-05-19 21:40:18,未知,获取数据失败 sz.300687: 网络接收错误。
2026-05-19 21:40:21,未知,获取数据失败 sz.002534: 网络接收错误。
2026-05-19 21:40:22,未知,获取数据失败 sz.300157: 网络接收错误。
2026-05-19 21:40:28,未知,获取数据失败 sh.600846: 网络接收错误。
2026-05-19 21:40:28,未知,获取数据失败 sh.603299: 网络接收错误。
2026-05-19 21:40:30,未知,获取数据失败 sz.300688: 网络接收错误。
2026-05-19 21:40:36,未知,获取数据失败 sz.002535: 网络接收错误。
2026-05-19 21:40:36,未知,获取数据失败 sz.300158: 网络接收错误。
2026-05-19 21:40:39,未知,获取数据失败 sz.399353: 网络接收错误。
2026-05-19 21:40:40,未知,获取数据失败 sh.600847: 网络接收错误。
2026-05-19 21:40:41,未知,获取数据失败 sz.300689: 网络接收错误。
2026-05-19 21:40:41,未知,获取数据失败 sh.603300: 网络接收错误。
2026-05-19 21:40:48,未知,获取数据失败 sz.300159: 网络接收错误。
2026-05-19 21:40:52,未知,获取数据失败 sh.603301: 网络接收错误。
2026-05-19 21:40:52,未知,获取数据失败 sz.002536: 网络接收错误。
2026-05-19 21:40:52,未知,获取数据失败 sz.399355: 网络接收错误。
2026-05-19 21:40:54,未知,获取数据失败 sz.300690: 网络接收错误。
2026-05-19 21:41:02,未知,获取数据失败 sh.600848: 网络接收错误。
2026-05-19 21:41:03,未知,获取数据失败 sh.603303: 网络接收错误。
2026-05-19 21:41:05,未知,获取数据失败 sz.300160: 网络接收错误。
2026-05-19 21:41:05,未知,获取数据失败 sz.399356: 网络接收错误。
2026-05-19 21:41:08,未知,获取数据失败 sz.002537: 网络接收错误。
2026-05-19 21:41:09,未知,获取数据失败 sz.300691: 网络接收错误。
2026-05-19 21:41:17,未知,获取数据失败 sh.603305: 网络接收错误。
2026-05-19 21:41:17,未知,获取数据失败 sz.399357: 网络接收错误。
2026-05-19 21:41:18,未知,获取数据失败 sz.300161: 网络接收错误。
2026-05-19 21:41:21,未知,获取数据失败 sh.600850: 网络接收错误。
2026-05-19 21:41:23,未知,获取数据失败 sz.300692: 网络接收错误。
2026-05-19 21:41:26,未知,获取数据失败 sz.002538: 网络接收错误。
2026-05-19 21:41:30,未知,获取数据失败 sz.300162: 网络接收错误。
2026-05-19 21:41:34,未知,获取数据失败 sh.600851: 网络接收错误。
2026-05-19 21:41:34,未知,获取数据失败 sz.399358: 网络接收错误。
2026-05-19 21:41:35,未知,获取数据失败 sh.603306: 网络接收错误。
2026-05-19 21:41:36,未知,获取数据失败 sz.300693: 网络接收错误。
2026-05-19 21:41:40,未知,获取数据失败 sz.002539: 网络接收错误。
2026-05-19 21:41:43,未知,获取数据失败 sz.300163: 网络接收错误。
2026-05-19 21:41:46,未知,获取数据失败 sh.600853: 网络接收错误。
2026-05-19 21:41:49,未知,获取数据失败 sh.603307: 网络接收错误。
2026-05-19 21:41:52,未知,获取数据失败 sz.399359: 网络接收错误。
2026-05-19 21:41:54,未知,获取数据失败 sz.300694: 网络接收错误。
2026-05-19 21:41:55,未知,获取数据失败 sz.300164: 网络接收错误。
2026-05-19 21:41:57,未知,获取数据失败 sz.002540: 网络接收错误。
2026-05-19 21:41:57,未知,获取数据失败 sh.600854: 网络接收错误。
2026-05-19 21:42:09,未知,获取数据失败 sh.603308: 网络接收错误。
2026-05-19 21:42:11,未知,获取数据失败 sz.300695: 网络接收错误。
2026-05-19 21:42:11,未知,获取数据失败 sz.300165: 网络接收错误。
2026-05-19 21:42:11,未知,获取数据失败 sz.399360: 网络接收错误。
2026-05-19 21:42:11,未知,获取数据失败 sh.600855: 网络接收错误。
2026-05-19 21:42:13,未知,获取数据失败 sz.002541: 网络接收错误。
2026-05-19 21:42:22,未知,获取数据失败 sh.603309: 网络接收错误。
2026-05-19 21:42:24,未知,获取数据失败 sz.300696: 网络接收错误。
2026-05-19 21:42:25,未知,获取数据失败 sh.600857: 网络接收错误。
2026-05-19 21:42:28,未知,获取数据失败 sz.002542: 网络接收错误。
2026-05-19 21:42:29,未知,获取数据失败 sz.300166: 网络接收错误。
2026-05-19 21:42:30,未知,获取数据失败 sz.399361: 网络接收错误。
2026-05-19 21:42:36,未知,获取数据失败 sz.300697: 网络接收错误。
2026-05-19 21:42:39,未知,获取数据失败 sh.603310: 网络接收错误。
2026-05-19 21:42:42,未知,获取数据失败 sh.600858: 网络接收错误。
2026-05-19 21:42:43,未知,获取数据失败 sz.002543: 网络接收错误。
2026-05-19 21:42:45,未知,获取数据失败 sz.399362: 网络接收错误。
2026-05-19 21:42:46,未知,获取数据失败 sz.300167: 网络接收错误。
2026-05-19 21:42:52,未知,获取数据失败 sz.300698: 网络接收错误。
2026-05-19 21:42:54,未知,获取数据失败 sh.600859: 网络接收错误。
2026-05-19 21:42:59,未知,获取数据失败 sh.603311: 网络接收错误。
2026-05-19 21:43:00,未知,获取数据失败 sz.002544: 网络接收错误。
2026-05-19 21:43:00,未知,获取数据失败 sz.300168: 网络接收错误。
2026-05-19 21:43:02,未知,获取数据失败 sz.399363: 网络接收错误。
2026-05-19 21:43:10,未知,获取数据失败 sz.300699: 网络接收错误。
2026-05-19 21:43:11,未知,获取数据失败 sz.300169: 网络接收错误。
2026-05-19 21:43:14,未知,获取数据失败 sh.603312: 网络接收错误。
2026-05-19 21:43:14,未知,获取数据失败 sh.600860: 网络接收错误。
2026-05-19 21:43:17,未知,获取数据失败 sz.002545: 网络接收错误。
2026-05-19 21:43:18,未知,获取数据失败 sz.399364: 网络接收错误。
2026-05-19 21:43:21,未知,获取数据失败 sz.300700: 网络接收错误。
2026-05-19 21:43:25,未知,获取数据失败 sh.600861: 网络接收错误。
2026-05-19 21:43:26,未知,获取数据失败 sz.300170: 网络接收错误。
2026-05-19 21:43:28,未知,获取数据失败 sz.399365: 网络接收错误。
2026-05-19 21:43:30,未知,获取数据失败 sh.603313: 网络接收错误。
2026-05-19 21:43:32,未知,获取数据失败 sz.002546: 网络接收错误。
2026-05-19 21:43:36,未知,获取数据失败 sh.600862: 网络接收错误。
2026-05-19 21:43:39,未知,获取数据失败 sz.300701: 网络接收错误。
2026-05-19 21:43:39,未知,获取数据失败 sz.300171: 网络接收错误。
2026-05-19 21:43:43,未知,获取数据失败 sz.399366: 网络接收错误。
2026-05-19 21:43:43,未知,获取数据失败 sz.002547: 网络接收错误。
2026-05-19 21:43:43,未知,获取数据失败 sh.603315: 网络接收错误。
2026-05-19 21:43:47,未知,获取数据失败 sh.600863: 网络接收错误。
2026-05-19 21:43:53,未知,获取数据失败 sz.300172: 网络接收错误。
2026-05-19 21:43:54,未知,获取数据失败 sz.300702: 网络接收错误。
2026-05-19 21:43:55,未知,获取数据失败 sh.603316: 网络接收错误。
2026-05-19 21:44:00,未知,获取数据失败 sz.002548: 网络接收错误。
2026-05-19 21:44:01,未知,获取数据失败 sz.399367: 网络接收错误。
2026-05-19 21:44:03,未知,获取数据失败 sh.600864: 网络接收错误。
2026-05-19 21:44:06,未知,获取数据失败 sz.300173: 网络接收错误。
2026-05-19 21:44:09,未知,获取数据失败 sz.300703: 网络接收错误。
2026-05-19 21:44:13,未知,获取数据失败 sh.603317: 网络接收错误。
2026-05-19 21:44:15,未知,获取数据失败 sh.600865: 网络接收错误。
2026-05-19 21:44:18,未知,获取数据失败 sz.002549: 网络接收错误。
2026-05-19 21:44:20,未知,获取数据失败 sz.399368: 网络接收错误。
2026-05-19 21:44:22,未知,获取数据失败 sz.300705: 网络接收错误。
2026-05-19 21:44:24,未知,获取数据失败 sz.300174: 网络接收错误。
2026-05-19 21:44:27,未知,获取数据失败 sh.603318: 网络接收错误。
2026-05-19 21:44:31,未知,获取数据失败 sz.002550: 网络接收错误。
2026-05-19 21:44:34,未知,获取数据失败 sz.399369: 网络接收错误。
2026-05-19 21:44:35,未知,获取数据失败 sh.600866: 网络接收错误。
2026-05-19 21:44:36,未知,获取数据失败 sz.300175: 网络接收错误。
2026-05-19 21:44:41,未知,获取数据失败 sz.300706: 网络接收错误。
2026-05-19 21:44:43,未知,获取数据失败 sh.603319: 网络接收错误。
2026-05-19 21:44:44,未知,获取数据失败 sz.002551: 网络接收错误。
2026-05-19 21:44:46,未知,获取数据失败 sh.600867: 网络接收错误。
2026-05-19 21:44:52,未知,获取数据失败 sz.399370: 网络接收错误。
2026-05-19 21:44:55,未知,获取数据失败 sh.600868: 网络接收错误。
2026-05-19 21:44:56,未知,获取数据失败 sh.603320: 网络接收错误。
2026-05-19 21:44:56,未知,获取数据失败 sz.300176: 网络接收错误。
2026-05-19 21:45:00,未知,获取数据失败 sz.300707: 网络接收错误。
2026-05-19 21:45:03,未知,获取数据失败 sz.002552: 网络接收错误。
2026-05-19 21:45:06,未知,获取数据失败 sh.600869: 网络接收错误。
2026-05-19 21:45:08,未知,获取数据失败 sz.399371: 网络接收错误。
2026-05-19 21:45:11,未知,获取数据失败 sz.300177: 网络接收错误。
2026-05-19 21:45:15,未知,获取数据失败 sh.603321: 网络接收错误。
2026-05-19 21:45:16,未知,获取数据失败 sz.300708: 网络接收错误。
2026-05-19 21:45:20,未知,获取数据失败 sz.002553: 网络接收错误。
2026-05-19 21:45:20,未知,获取数据失败 sz.399372: 网络接收错误。
2026-05-19 21:45:25,未知,获取数据失败 sh.600871: 网络接收错误。
2026-05-19 21:45:25,未知,获取数据失败 sz.300179: 网络接收错误。
2026-05-19 21:45:29,未知,获取数据失败 sh.603322: 网络接收错误。
2026-05-19 21:45:30,未知,获取数据失败 sz.300709: 网络接收错误。
2026-05-19 21:45:32,未知,获取数据失败 sz.399373: 网络接收错误。
2026-05-19 21:45:33,未知,获取数据失败 sz.002554: 网络接收错误。
2026-05-19 21:45:41,未知,获取数据失败 sh.600872: 网络接收错误。
2026-05-19 21:45:42,未知,获取数据失败 sz.300710: 网络接收错误。
2026-05-19 21:45:43,未知,获取数据失败 sz.300180: 网络接收错误。
2026-05-19 21:45:44,未知,获取数据失败 sz.399374: 网络接收错误。
2026-05-19 21:45:48,未知,获取数据失败 sz.002555: 网络接收错误。
2026-05-19 21:45:49,未知,获取数据失败 sh.603323: 网络接收错误。
2026-05-19 21:45:58,未知,获取数据失败 sz.300711: 网络接收错误。
2026-05-19 21:45:59,未知,获取数据失败 sh.600873: 网络接收错误。
2026-05-19 21:46:00,未知,获取数据失败 sz.300181: 网络接收错误。
2026-05-19 21:46:01,未知,获取数据失败 sh.603324: 网络接收错误。
2026-05-19 21:46:01,未知,获取数据失败 sz.399375: 网络接收错误。
2026-05-19 21:46:02,未知,获取数据失败 sz.002556: 网络接收错误。
2026-05-19 21:46:14,未知,获取数据失败 sz.399376: 网络接收错误。
2026-05-19 21:46:14,未知,获取数据失败 sz.300712: 网络接收错误。
2026-05-19 21:46:15,未知,获取数据失败 sh.600874: 网络接收错误。
2026-05-19 21:46:15,未知,获取数据失败 sz.002557: 网络接收错误。
2026-05-19 21:46:17,未知,获取数据失败 sh.603325: 网络接收错误。
2026-05-19 21:46:19,未知,获取数据失败 sz.300182: 网络接收错误。
2026-05-19 21:46:26,未知,获取数据失败 sz.300713: 网络接收错误。
2026-05-19 21:46:27,未知,获取数据失败 sh.603326: 网络接收错误。
2026-05-19 21:46:27,未知,获取数据失败 sh.600875: 网络接收错误。
2026-05-19 21:46:31,未知,获取数据失败 sz.399377: 网络接收错误。
2026-05-19 21:46:31,未知,获取数据失败 sz.002558: 网络接收错误。
2026-05-19 21:46:35,未知,获取数据失败 sz.300183: 网络接收错误。
2026-05-19 21:46:36,未知,获取数据失败 sz.300715: 网络接收错误。
2026-05-19 21:46:41,未知,获取数据失败 sh.603327: 网络接收错误。
2026-05-19 21:46:42,未知,获取数据失败 sh.600876: 网络接收错误。
2026-05-19 21:46:45,未知,获取数据失败 sz.300184: 网络接收错误。
2026-05-19 21:46:45,未知,获取数据失败 sz.002559: 网络接收错误。
2026-05-19 21:46:49,未知,获取数据失败 sz.399378: 网络接收错误。
2026-05-19 21:46:50,未知,获取数据失败 sz.300716: 网络接收错误。
2026-05-19 21:46:59,未知,获取数据失败 sh.600877: 网络接收错误。
2026-05-19 21:47:00,未知,获取数据失败 sz.002560: 网络接收错误。
2026-05-19 21:47:00,未知,获取数据失败 sh.603328: 网络接收错误。
2026-05-19 21:47:05,未知,获取数据失败 sz.300185: 网络接收错误。
2026-05-19 21:47:05,未知,获取数据失败 sz.399379: 网络接收错误。
2026-05-19 21:47:10,未知,获取数据失败 sz.300717: 网络接收错误。
2026-05-19 21:47:13,未知,获取数据失败 sh.600879: 网络接收错误。
2026-05-19 21:47:16,未知,获取数据失败 sz.002561: 网络接收错误。
2026-05-19 21:47:17,未知,获取数据失败 sh.603329: 网络接收错误。
2026-05-19 21:47:17,未知,获取数据失败 sz.300187: 网络接收错误。
2026-05-19 21:47:18,未知,获取数据失败 sz.000063: 网络接收错误。
2026-05-19 21:47:19,未知,获取数据失败 sz.399380: 网络接收错误。
2026-05-19 21:47:30,未知,获取数据失败 sz.300188: 网络接收错误。
2026-05-19 21:47:30,未知,获取数据失败 sz.300718: 网络接收错误。
2026-05-19 21:47:31,未知,获取数据失败 sh.603330: 网络接收错误。
2026-05-19 21:47:31,未知,获取数据失败 sh.600880: 网络接收错误。
2026-05-19 21:47:32,未知,获取数据失败 sz.002562: 网络接收错误。
2026-05-19 21:47:32,未知,获取数据失败 sz.399381: 网络接收错误。
2026-05-19 21:47:32,未知,获取数据失败 sz.000065: 网络接收错误。
2026-05-19 21:47:42,未知,获取数据失败 sh.603331: 网络接收错误。
2026-05-19 21:47:43,未知,获取数据失败 sz.000066: 网络接收错误。
2026-05-19 21:47:43,未知,获取数据失败 sz.300719: 网络接收错误。
2026-05-19 21:47:44,未知,获取数据失败 sz.300189: 网络接收错误。
2026-05-19 21:47:46,未知,获取数据失败 sz.002563: 网络接收错误。
2026-05-19 21:47:50,未知,获取数据失败 sh.600881: 网络接收错误。
2026-05-19 21:47:51,未知,获取数据失败 sz.399382: 网络接收错误。
2026-05-19 21:47:55,未知,获取数据失败 sh.603332: 网络接收错误。
2026-05-19 21:47:55,未知,获取数据失败 sz.000068: 网络接收错误。
2026-05-19 21:47:57,未知,获取数据失败 sz.002564: 网络接收错误。
2026-05-19 21:48:01,未知,获取数据失败 sz.300720: 网络接收错误。
2026-05-19 21:48:01,未知,获取数据失败 sh.600882: 网络接收错误。
2026-05-19 21:48:01,未知,获取数据失败 sz.300190: 网络接收错误。
2026-05-19 21:48:06,未知,获取数据失败 sz.399383: 网络接收错误。
2026-05-19 21:48:08,未知,获取数据失败 sz.000069: 网络接收错误。
2026-05-19 21:48:10,未知,获取数据失败 sh.603333: 网络接收错误。
2026-05-19 21:48:11,未知,获取数据失败 sz.002565: 网络接收错误。
2026-05-19 21:48:17,未知,获取数据失败 sz.300191: 网络接收错误。
2026-05-19 21:48:18,未知,获取数据失败 sz.000070: 网络接收错误。
2026-05-19 21:48:18,未知,获取数据失败 sh.600883: 网络接收错误。
2026-05-19 21:48:20,未知,获取数据失败 sz.300721: 网络接收错误。
2026-05-19 21:48:21,未知,获取数据失败 sz.399384: 网络接收错误。
2026-05-19 21:48:23,未知,获取数据失败 sz.002566: 网络接收错误。
2026-05-19 21:48:25,未知,获取数据失败 sh.603334: 网络接收错误。
2026-05-19 21:48:30,未知,获取数据失败 sh.600884: 网络接收错误。
2026-05-19 21:48:33,未知,获取数据失败 sz.300192: 网络接收错误。
2026-05-19 21:48:36,未知,获取数据失败 sz.000078: 网络接收错误。
2026-05-19 21:48:36,未知,获取数据失败 sz.399385: 网络接收错误。
2026-05-19 21:48:37,未知,获取数据失败 sz.300722: 网络接收错误。
2026-05-19 21:48:38,未知,获取数据失败 sh.603335: 网络接收错误。
2026-05-19 21:48:40,未知,获取数据失败 sh.600885: 网络接收错误。
2026-05-19 21:48:43,未知,获取数据失败 sz.002567: 网络接收错误。
2026-05-19 21:48:48,未知,获取数据失败 sz.300193: 网络接收错误。
2026-05-19 21:48:48,未知,获取数据失败 sz.300723: 网络接收错误。
2026-05-19 21:48:49,未知,获取数据失败 sh.603336: 网络接收错误。
2026-05-19 21:48:53,未知,获取数据失败 sz.000088: 网络接收错误。
2026-05-19 21:48:55,未知,获取数据失败 sh.600886: 网络接收错误。
2026-05-19 21:48:55,未知,获取数据失败 sz.399386: 网络接收错误。
2026-05-19 21:49:00,未知,获取数据失败 sz.300724: 网络接收错误。
2026-05-19 21:49:00,未知,获取数据失败 sz.002568: 网络接收错误。
2026-05-19 21:49:01,未知,获取数据失败 sh.603337: 网络接收错误。
2026-05-19 21:49:06,未知,获取数据失败 sz.300194: 网络接收错误。
2026-05-19 21:49:10,未知,获取数据失败 sz.000089: 网络接收错误。
2026-05-19 21:49:12,未知,获取数据失败 sz.399387: 网络接收错误。
2026-05-19 21:49:13,未知,获取数据失败 sh.600887: 网络接收错误。
2026-05-19 21:49:15,未知,获取数据失败 sz.300725: 网络接收错误。
2026-05-19 21:49:16,未知,获取数据失败 sh.603338: 网络接收错误。
2026-05-19 21:49:19,未知,获取数据失败 sz.002569: 网络接收错误。
2026-05-19 21:49:21,未知,获取数据失败 sz.300195: 网络接收错误。
2026-05-19 21:49:22,未知,获取数据失败 sz.000090: 网络接收错误。
2026-05-19 21:49:27,未知,获取数据失败 sh.600888: 网络接收错误。
2026-05-19 21:49:28,未知,获取数据失败 sz.300726: 网络接收错误。
2026-05-19 21:49:30,未知,获取数据失败 sz.399388: 网络接收错误。
2026-05-19 21:49:33,未知,获取数据失败 sh.603339: 网络接收错误。
2026-05-19 21:49:34,未知,获取数据失败 sz.002570: 网络接收错误。
2026-05-19 21:49:37,未知,获取数据失败 sz.000096: 网络接收错误。
2026-05-19 21:49:39,未知,获取数据失败 sh.600889: 网络接收错误。
2026-05-19 21:49:40,未知,获取数据失败 sz.300196: 网络接收错误。
2026-05-19 21:49:42,未知,获取数据失败 sz.399389: 网络接收错误。
2026-05-19 21:49:46,未知,获取数据失败 sz.300727: 网络接收错误。
2026-05-19 21:49:47,未知,获取数据失败 sh.603341: 网络接收错误。
2026-05-19 21:49:48,未知,获取数据失败 sz.002571: 网络接收错误。
2026-05-19 21:49:50,未知,获取数据失败 sz.000099: 网络接收错误。
2026-05-19 21:49:53,未知,获取数据失败 sh.600892: 网络接收错误。
2026-05-19 21:49:55,未知,获取数据失败 sz.300197: 网络接收错误。
2026-05-19 21:49:59,未知,获取数据失败 sz.399390: 网络接收错误。
2026-05-19 21:50:01,未知,获取数据失败 sz.300729: 网络接收错误。
2026-05-19 21:50:01,未知,获取数据失败 sh.603344: 网络接收错误。
2026-05-19 21:50:03,未知,获取数据失败 sz.002572: 网络接收错误。
2026-05-19 21:50:04,未知,获取数据失败 sz.000100: 网络接收错误。
2026-05-19 21:50:05,未知,获取数据失败 sh.600893: 网络接收错误。
2026-05-19 21:50:07,未知,获取数据失败 sz.300198: 网络接收错误。
2026-05-19 21:50:15,未知,获取数据失败 sz.002573: 网络接收错误。
2026-05-19 21:50:17,未知,获取数据失败 sz.399391: 网络接收错误。
2026-05-19 21:50:17,未知,获取数据失败 sh.600894: 网络接收错误。
2026-05-19 21:50:18,未知,获取数据失败 sz.300730: 网络接收错误。
2026-05-19 21:50:19,未知,获取数据失败 sh.603345: 网络接收错误。
2026-05-19 21:50:20,未知,获取数据失败 sz.300199: 网络接收错误。
2026-05-19 21:50:22,未知,获取数据失败 sz.000151: 网络接收错误。
2026-05-19 21:50:30,未知,获取数据失败 sz.399392: 网络接收错误。
